date,cell_ll_lat,cell_ll_lon,mmsi,hours,fishing_hours
2020-06-21,-2,80.9,412989000,0.1008,0
2020-06-21,-2,80.4,412989000,0.9202,0.9202
2020-06-21,-2,80.5,412989000,0.8149,0.8149
2020-06-21,-2,81,412989000,0.8947,0
2020-06-21,-2,81.1,412989000,0.1936,0
2020-06-21,-2,80.3,412989000,0.443,0.443
2020-06-21,-2,80.6,412989000,2.2005,2.2005
2020-06-21,-2,65.5,416000763,5.2588,0
2020-06-21,-2,0.3,416005504,1.0411,1.0411
2020-06-21,-2,0.2,416005504,1.0866,1.0866
2020-06-21,-2,0.6,416005504,2.0047,2.0047
2020-06-21,-2,0.8,416005504,1.6613,1.6613
2020-06-21,-2,162.3,416226600,0.1225,0
2020-06-21,-2,162.4,416226600,2.178,0
2020-06-21,-2,80.3,416252800,4.6861,4.6861
2020-06-21,-2,80.4,416252800,3.8963,3.8963
2020-06-21,-2,-167.2,416631000,0.6719,0.6719
2020-06-21,-2,78,417000739,3.2913,0
2020-06-21,-2,78.5,417000758,5.8719,0
2020-06-21,-2,76.6,417344129,6.3841,6.3841
2020-06-21,-2,76.5,417344129,5.6011,5.6011
2020-06-21,-2,118.6,431067000,0.2277,0
2020-06-21,-2,154,440053000,0.433,0
2020-06-21,-2,-144.7,440895000,0.4463,0
2020-06-21,-2,-166.6,440992000,0.258,0.1847
2020-06-21,-2,-166.5,440992000,0.3011,0
2020-06-21,-2,-166.3,440992000,0.2902,0
2020-06-21,-2,-166.4,440992000,0.3455,0
2020-06-21,-2,179.8,544125120,0.3852,0
2020-06-21,-2,-180,544125120,0.5227,0
2020-06-21,-2,179.7,544125120,0.1508,0
2020-06-21,-2,-179.4,544125120,0.6611,0.6611
2020-06-21,-2,-179.9,544125120,0.5477,0
2020-06-21,-2,-179.7,544125120,0.4752,0
2020-06-21,-2,-179.8,544125120,0.5002,0
2020-06-21,-2,179.9,544125120,0.543,0
2020-06-21,-2,-179.3,544125120,1.6719,1.6719
2020-06-21,-2,-167,577245000,0.6263,0.6263
2020-06-21,-2,-167.1,577245000,2.4836,2.4836
2020-06-21,-2,-166.9,577245000,1.4911,1.4911
2020-06-21,-2,-166.8,577245000,2.6169,2.6169
2020-06-21,-2,-167.2,577245000,2.9344,2.3444
2020-06-21,-2,63.4,664139000,0.693,0
2020-06-21,-2,-31.8,710000176,0.3725,0
2020-06-21,-2,-31.7,710000176,0.7166,0
2020-06-21,-2,-85.8,735058843,0.8625,0
2020-06-21,-2,-105.8,775627000,0.618,0
2020-06-21,-2,-105.9,775627000,0.2975,0
2020-06-21,2.5,-8.8,224587000,3.7225,0
2020-06-21,2.5,-5.7,225459000,0.3866,0
2020-06-21,2.5,-5.8,225459000,0.315,0
2020-06-21,2.5,-3.7,225459000,0.2888,0
2020-06-21,2.5,-2,353171000,0.6577,0
2020-06-21,2.5,-2.5,359102000,0.5869,0
2020-06-21,2.5,58.1,412326861,5.7033,0
2020-06-21,2.5,58,412326861,0.6908,0
2020-06-21,2.5,171.6,412421081,1.8669,1.8669
2020-06-21,2.5,141,416004389,1.9166,1.9166
2020-06-21,2.5,150.4,416004442,4.5216,4.5216
2020-06-21,2.5,150.3,416004442,0.4655,0.4655
2020-06-21,2.5,91,416005571,0.8305,0
2020-06-21,2.5,90.1,416005877,0.4808,0
2020-06-21,2.5,90,416005877,0.3505,0
2020-06-21,2.5,-167.2,416084500,1.8158,1.8158
2020-06-21,2.5,152.4,416221700,0.5733,0
2020-06-21,2.5,159.2,416238800,0.6802,0
2020-06-21,2.5,159.3,416238800,0.4216,0
2020-06-21,2.5,161.9,416411000,1.1244,0
2020-06-21,2.5,-166.9,416623000,0.6727,0
2020-06-21,2.5,-166.9,416710000,0.6425,0
2020-06-21,2.5,78.2,417000403,11.9286,0
2020-06-21,2.5,-18.9,432045000,0.0638,0
2020-06-21,2.5,-18.8,432045000,0.4063,0
